N,Должность,Язык.программирования,Специализация,Общий.опыт.работы,Опыт.работы.на.текущем.месте,Зарплата.в.месяц,Изменение.зарплаты.за.12.месяцев,Город,Размер.компании,Тип.компании,Пол,Возраст,Образование,Университет,Еще.студент,Уровень.английского,Предметная.область,Дата.заполнения,User.Agent,exp,current_job_exp,salary,Валюта,cls,avg
307,Software Engineer,C#/.NET,,5,0.5,2350,350,Киев,свыше 1000 человек,Аутстаффинговая,мужской,26,Высшее,ЧГУ им. Петра Могилы,False,средний,"Desktop Applications,Корпоративные системы",12/06/2017 13:46:31,"Mozilla/5.0 (Linux; Android 7.0; SM-A510F Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/58.0.3029.83 Mobile Safari/537.36",5.0,0.5,2350,,DEV,1678.630073800738
311,Software Engineer,Other,,5,2,1700,200,Киев,до 1000 человек,Аутсорсинговая,мужской,25,Высшее,НаУКМА,False,продвинутый,"Desktop Applications,Другое",12/06/2017 13:46:52,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",5.0,2.0,1700,,DEV,1678.630073800738
312,Software Engineer,C++,,10 и более лет,0.5,2600,1400,Киев,до 1000 человек,Аутстаффинговая,мужской,42,Высшее,НТУУ «КПИ»,False,выше среднего,Веб-разработка,12/06/2017 13:46:53,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",10.0,0.5,2600,,DEV,1678.630073800738
320,Software Engineer,C#/.NET,,3,меньше 3 месяцев,2000,0,Киев,до 200 человек,Продуктовая,мужской,22,Высшее,НТУУ «КПИ»,False,выше среднего,"Веб-разработка,Корпоративные системы",12/06/2017 13:48:23,"Mozilla/5.0 (Linux; Android 6.0.1; SM-J510H Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",3.0,0.0,2000,,DEV,1678.630073800738
321,Software Engineer,Swift,,3,3,1200,800,Ужгород,до 200 человек,Аутсорсинговая,мужской,28,Высшее,Другой вуз,False,выше среднего,"iOS,Другое",12/06/2017 13:48:31,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,3.0,1200,,DEV,1678.630073800738
322,Software Engineer,Java,,3,2,1050,150,Одесса,до 1000 человек,Продуктовая,мужской,23,Высшее,ОНУ им. Мечникова,False,ниже среднего,"Веб-разработка,Корпоративные системы",12/06/2017 13:48:34,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,2.0,1050,,DEV,1678.630073800738
324,Software Engineer,Swift,,2,1,1200,400,Львов,до 200 человек,Аутсорсинговая,мужской,23,Незаконченное высшее,Другой вуз,True,выше среднего,iOS,12/06/2017 13:49:06,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14",2.0,1.0,1200,,DEV,1678.630073800738
325,Software Engineer,Java,,2,1.5,1500,500,Львов,до 200 человек,Аутсорсинговая,мужской,25,Высшее,ЛНУ им. Франко,False,средний,Android,12/06/2017 13:49:27,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36",2.0,1.5,1500,,DEV,1678.630073800738
326,Software Engineer,Other,,5,1,1550,150,Чернигов,до 1000 человек,Другая,мужской,26,Высшее,Другой вуз,False,средний,eCommerce,12/06/2017 13:50:08,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,1.0,1550,,DEV,1678.630073800738
331,Software Engineer,Java,,3,0.5,2200,500,Львов,свыше 1000 человек,Аутсорсинговая,мужской,25,Высшее,Львовская Политехника,False,средний,Веб-разработка,12/06/2017 13:51:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,0.5,2200,,DEV,1678.630073800738
334,Software Engineer,C#/.NET,,4,0.25,2200,1200,Удаленно,до 50 человек,Продуктовая,мужской,27,Высшее,Другой вуз,False,выше среднего,"Системное программирование,Мультимедиа",12/06/2017 13:51:32,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,4.0,0.25,2200,,DEV,1678.630073800738
335,Software Engineer,JavaScript,,2,0.5,1700,100,Киев,до 200 человек,Продуктовая,мужской,24,Высшее,КНУ им. Шевченко,False,выше среднего,Веб-разработка,12/06/2017 13:51:48,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Mobile/14F89 [FBAN/FBIOS;FBAV/96.0.0.45.70;FBBV/60548545;FBDV/iPhone8,4;FBMD/iPhone;FBSN/iOS;FBSV/10.3.2;FBSS/2;FBCR/Kyivstar;FBID/phone;FBLC/en_US;FBOP/5;FBRV/0]",2.0,0.5,1700,,DEV,1678.630073800738
336,Software Engineer,PHP,,10 и более лет,6,1300,0,Удаленно,до 10 человек,Другая,мужской,34,Высшее,СумГУ,False,средний,Веб-разработка,12/06/2017 13:51:50,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.24 Safari/537.36",10.0,6.0,1300,,DEV,1678.630073800738
338,Software Engineer,JavaScript,,3,0.5,3000,300,Киев,до 200 человек,Продуктовая,мужской,26,Высшее,НТУУ «КПИ»,False,средний,Веб-разработка,12/06/2017 13:52:09,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,0.5,3000,,DEV,1678.630073800738
344,Software Engineer,Other,,7,1,1200,0,Львов,до 10 человек,Аутсорсинговая,мужской,28,Высшее,Другой вуз,False,средний,"Веб-разработка,Корпоративные системы",12/06/2017 13:53:10,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",7.0,1.0,1200,,DEV,1678.630073800738
347,Software Engineer,JavaScript,,1,1,800,500,Львов,до 200 человек,Аутсорсинговая,мужской,23,Высшее,ЛНУ им. Франко,False,средний,Веб-разработка,12/06/2017 13:53:36,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,800,,DEV,1678.630073800738
349,Software Engineer,Java,,2,2,1250,450,Харьков,свыше 1000 человек,Аутсорсинговая,мужской,22,Высшее,ХНУРЭ,True,средний,"Веб-разработка,eCommerce",12/06/2017 13:53:48,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,2.0,1250,,DEV,1678.630073800738
351,Software Engineer,C#/.NET,,5,1,4000,100,Киев,до 1000 человек,Аутсорсинговая,женский,30,Высшее,НТУУ «КПИ»,False,средний,"Desktop Applications,Веб-разработка",12/06/2017 13:53:51,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,1.0,4000,,DEV,1678.630073800738
356,Software Engineer,C#/.NET,,1.5,1.5,500,440,Ивано-Франковск,до 50 человек,Аутсорсинговая,мужской,24,Высшее,Другой вуз,False,выше среднего,"Веб-разработка,eCommerce",12/06/2017 13:54:30,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",1.5,1.5,500,,DEV,1678.630073800738
358,Software Engineer,JavaScript,,2,1,1400,400,Киев,до 10 человек,Продуктовая,мужской,24,Высшее,Другой вуз,False,ниже среднего,"Веб-разработка,eCommerce",12/06/2017 13:54:41,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,1.0,1400,,DEV,1678.630073800738
362,Software Engineer,C#/.NET,,9,2,2700,0,Киев,до 1000 человек,Продуктовая,мужской,30,Высшее,НаУКМА,False,средний,Корпоративные системы,12/06/2017 13:55:44,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,9.0,2.0,2700,,DEV,1678.630073800738
364,Software Engineer,Ruby/Rails,,1.5,0.25,1200,800,Львов,до 200 человек,Продуктовая,мужской,30,Высшее,Другой вуз,False,средний,Веб-разработка,12/06/2017 13:56:24,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",1.5,0.25,1200,,DEV,1678.630073800738
365,Software Engineer,Java,,2,2,450,100,Удаленно,до 50 человек,Аутсорсинговая,мужской,24,Высшее,НУК,False,средний,Android,12/06/2017 13:56:30,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",2.0,2.0,450,,DEV,1678.630073800738
366,Software Engineer,PHP,,3,0.25,2000,400,Ровно,до 50 человек,Аутстаффинговая,мужской,23,Техникум / Колледж,,False,ниже среднего,Веб-разработка,12/06/2017 13:56:44,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Mobile/14F89 [FBAN/FBIOS;FBAV/96.0.0.45.70;FBBV/60548545;FBDV/iPhone7,1;FBMD/iPhone;FBSN/iOS;FBSV/10.3.2;FBSS/3;FBCR/lifecell;FBID/phone;FBLC/ru_RU;FBOP/5;FBRV/0]",3.0,0.25,2000,,DEV,1678.630073800738
378,Software Engineer,PHP,,10 и более лет,9,2500,0,Киев,до 50 человек,Аутсорсинговая,женский,45,Высшее,НАУ,False,средний,Веб-разработка,12/06/2017 13:59:04,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,10.0,9.0,2500,,DEV,1678.630073800738
379,Software Engineer,JavaScript,,4,4,780,0,Хмельницкий,до 1000 человек,Продуктовая,мужской,26,Высшее,ХНУ [г. Хмельницкий],False,средний,"Веб-разработка,Gamedev",12/06/2017 13:59:46,"Mozilla/5.0 (Linux; Android 7.0; HUAWEI CAN-L11 Build/HUAWEICAN-L11; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/58.0.3029.83 Mobile Safari/537.36",4.0,4.0,780,,DEV,1678.630073800738
381,Software Engineer,C#/.NET,,6,0.25,2800,500,Днепр,до 1000 человек,Продуктовая,мужской,26,Высшее,ДНУ им. Гончара,False,выше среднего,Веб-разработка,12/06/2017 14:00:09,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",6.0,0.25,2800,,DEV,1678.630073800738
383,Software Engineer,Scala,,5,3,3700,500,Киев,до 1000 человек,Аутсорсинговая,мужской,27,Высшее,Другой вуз,False,выше среднего,Веб-разработка,12/06/2017 14:00:23,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",5.0,3.0,3700,,DEV,1678.630073800738
388,Software Engineer,Python,,4,1.5,1200,0,Другой,до 10 человек,Стартап,мужской,26,Высшее,Другой вуз,False,ниже среднего,"Веб-разработка,eCommerce",12/06/2017 14:01:02,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.114 Safari/537.36 Vivaldi/1.9.818.50",4.0,1.5,1200,,DEV,1678.630073800738
389,Software Engineer,PHP,,6,меньше 3 месяцев,2500,1000,Киев,до 50 человек,Аутстаффинговая,мужской,24,Высшее,ОНПУ,False,выше среднего,"Веб-разработка,Другое",12/06/2017 14:01:11,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Mobile/14F89 [FBAN/FBIOS;FBAV/96.0.0.45.70;FBBV/60548545;FBDV/iPhone8,1;FBMD/iPhone;FBSN/iOS;FBSV/10.3.2;FBSS/2;FBCR/Carrier;FBID/phone;FBLC/en_US;FBOP/5;FBRV/0]",6.0,0.0,2500,,DEV,1678.630073800738
392,Software Engineer,PHP,,4,0.5,1700,200,Киев,до 200 человек,Аутсорсинговая,мужской,28,Высшее,ОНУ им. Мечникова,False,ниже среднего,"Финансы и банки,Корпоративные системы",12/06/2017 14:02:26,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.90 Safari/537.36",4.0,0.5,1700,,DEV,1678.630073800738
400,Software Engineer,Java,,4,3,1900,-100,Киев,до 200 человек,Аутсорсинговая,мужской,25,Высшее,НТУУ «КПИ»,False,средний,"Android,Корпоративные системы",12/06/2017 14:03:45,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,3.0,1900,,DEV,1678.630073800738
404,Software Engineer,Ruby/Rails,,3,3,1900,700,Днепр,до 200 человек,Аутсорсинговая,мужской,26,Высшее,НГУ [Днепропетровск],False,средний,Веб-разработка,12/06/2017 14:04:31,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,3.0,1900,,DEV,1678.630073800738
406,Software Engineer,JavaScript,,3,3,1650,400,Житомир,до 50 человек,Аутстаффинговая,мужской,23,Высшее,ЖГТУ,True,выше среднего,Веб-разработка,12/06/2017 14:04:59,"Mozilla/5.0 (Linux; Android 5.1; XT1254 Build/SU4TL-49) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",3.0,3.0,1650,,DEV,1678.630073800738
407,Software Engineer,Java,,4,2,1500,0,Черкассы,до 50 человек,Продуктовая,мужской,27,Высшее,Другой вуз,False,ниже среднего,Android,12/06/2017 14:05:12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,2.0,1500,,DEV,1678.630073800738
409,Software Engineer,JavaScript,,3,1,1800,2300,Киев,свыше 1000 человек,Аутсорсинговая,мужской,25,Высшее,НТУУ «КПИ»,False,средний,Финансы и банки,12/06/2017 14:05:15,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,1.0,1800,,DEV,1678.630073800738
412,Software Engineer,JavaScript,,4,2,2500,1000,Киев,свыше 1000 человек,Аутсорсинговая,мужской,26,Высшее,НТУУ «КПИ»,False,выше среднего,Desktop Applications,12/06/2017 14:05:28,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",4.0,2.0,2500,,DEV,1678.630073800738
415,Software Engineer,JavaScript,,2,меньше 3 месяцев,2500,1000,Харьков,до 1000 человек,Аутсорсинговая,женский,21,Высшее,ХНЭУ,True,выше среднего,Веб-разработка,12/06/2017 14:06:23,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safari/537.36",2.0,0.0,2500,,DEV,1678.630073800738
418,Software Engineer,PHP,,5,1.5,2000,300,Киев,до 1000 человек,Продуктовая,мужской,27,Высшее,НАУ,False,средний,Веб-разработка,12/06/2017 14:06:37,"Mozilla/5.0 (Linux; Android 5.0.2; Redmi Note 3 Build/LRX22G; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/58.0.3029.83 Mobile Safari/537.36",5.0,1.5,2000,,DEV,1678.630073800738
422,Software Engineer,JavaScript,,6,2,1700,0,Киев,до 1000 человек,Продуктовая,женский,29,Высшее,ВНУ им. Даля,False,элементарный,Gamedev,12/06/2017 14:07:16,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:51.0) Gecko/20100101 Firefox/51.0,6.0,2.0,1700,,DEV,1678.630073800738
428,Software Engineer,JavaScript,,4,1.5,2400,400,Киев,до 1000 человек,Продуктовая,мужской,26,Высшее,НТУУ «КПИ»,False,средний,Веб-разработка,12/06/2017 14:08:26,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,1.5,2400,,DEV,1678.630073800738
430,Software Engineer,C#/.NET,,3,меньше 3 месяцев,2400,1100,Львов,свыше 1000 человек,Аутсорсинговая,мужской,27,Высшее,Другой вуз,False,выше среднего,Веб-разработка,12/06/2017 14:08:35,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,0.0,2400,,DEV,1678.630073800738
431,Software Engineer,JavaScript,,8,1,2400,0,Киев,до 1000 человек,Другая,мужской,30,Незаконченное высшее,Другой вуз,False,средний,"Веб-разработка,eCommerce",12/06/2017 14:09:16,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",8.0,1.0,2400,,DEV,1678.630073800738
433,Software Engineer,PHP,,3,3,2200,400,Киев,до 50 человек,Продуктовая,мужской,23,Высшее,Другой вуз,False,выше среднего,Веб-разработка,12/06/2017 14:09:49,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",3.0,3.0,2200,,DEV,1678.630073800738
438,Software Engineer,PHP,,10 и более лет,10 и более лет,600,-400,Мариуполь,до 10 человек,Продуктовая,мужской,40,Высшее,Другой вуз,False,ниже среднего,"Веб-разработка,Телекоммуникации",12/06/2017 14:10:35,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,10.0,600,,DEV,1678.630073800738
439,Software Engineer,Java,,2,1.5,1700,900,Киев,до 200 человек,Продуктовая,мужской,24,Высшее,ГУТ,False,средний,"Веб-разработка,eCommerce",12/06/2017 14:10:46,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,2.0,1.5,1700,,DEV,1678.630073800738
441,Software Engineer,C#/.NET,,9,2,3600,0,Киев,до 50 человек,Аутстаффинговая,мужской,28,Незаконченное высшее,НТУУ «КПИ»,False,средний,Gamedev,12/06/2017 14:11:54,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",9.0,2.0,3600,,DEV,1678.630073800738
443,Software Engineer,C#/.NET,,1.5,1,1000,600,Харьков,до 200 человек,Аутсорсинговая,мужской,24,Высшее,ХАИ,False,средний,Веб-разработка,12/06/2017 14:12:08,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,1.0,1000,,DEV,1678.630073800738
447,Software Engineer,C#/.NET,,5,5,2000,300,Черновцы,до 50 человек,Продуктовая,мужской,25,Высшее,Другой вуз,False,выше среднего,"Веб-разработка,Корпоративные системы",12/06/2017 14:12:30,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.0.255225505 (Edition EXP136.1)",5.0,5.0,2000,,DEV,1678.630073800738
450,Software Engineer,Python,,5,3,2000,0,Киев,свыше 1000 человек,Аутсорсинговая,мужской,37,Незаконченное высшее,НТУУ «КПИ»,False,выше среднего,Веб-разработка,12/06/2017 14:12:37,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,3.0,2000,,DEV,1678.630073800738
453,Software Engineer,C#/.NET,,2,2,800,0,Днепр,до 1000 человек,Аутсорсинговая,мужской,21,Техникум / Колледж,,False,средний,Веб-разработка,12/06/2017 14:13:50,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,2.0,2.0,800,,DEV,1678.630073800738
454,Software Engineer,PHP,,6,1,2800,300,Киев,до 200 человек,Продуктовая,мужской,28,Два высших,ЖГТУ,False,средний,Веб-разработка,12/06/2017 14:13:59,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.100 Safari/537.36",6.0,1.0,2800,,DEV,1678.630073800738
455,Software Engineer,Java,,1.5,0.25,1000,200,Киев,до 50 человек,Аутсорсинговая,мужской,27,Высшее,Другой вуз,False,средний,"Веб-разработка,eCommerce",12/06/2017 14:14:12,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,0.25,1000,,DEV,1678.630073800738
457,Software Engineer,C#/.NET,,5,2,1000,0,Днепр,до 10 человек,Аутстаффинговая,мужской,27,Высшее,ХАИ,False,ниже среднего,"Веб-разработка,Финансы и банки",12/06/2017 14:15:20,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,2.0,1000,,DEV,1678.630073800738
469,Software Engineer,PHP,,1.5,1.5,1500,1100,Львов,до 200 человек,Аутсорсинговая,мужской,23,Высшее,Львовская Политехника,False,средний,Веб-разработка,12/06/2017 14:17:49,"Mozilla/5.0 (Linux; Android 5.1; m2 note Build/LMY47D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",1.5,1.5,1500,,DEV,1678.630073800738
474,Software Engineer,JavaScript,,3,1,2500,1500,Киев,до 200 человек,Продуктовая,мужской,34,Высшее,НТУУ «КПИ»,False,выше среднего,Веб-разработка,12/06/2017 14:18:24,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,1.0,2500,,DEV,1678.630073800738
475,Software Engineer,Objective-C,,3,3,900,200,Киев,до 50 человек,Аутсорсинговая,мужской,23,Высшее,НАУ,False,ниже среднего,"iOS,Мультимедиа",12/06/2017 14:19:21,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",3.0,3.0,900,,DEV,1678.630073800738
477,Software Engineer,PHP,,2,1,1000,300,Днепр,до 10 человек,Аутсорсинговая,мужской,26,Высшее,ДНУ им. Гончара,False,ниже среднего,"Веб-разработка,eCommerce",12/06/2017 14:19:37,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",2.0,1.0,1000,,DEV,1678.630073800738
480,Software Engineer,Java,,5,4,2500,200,Львов,до 1000 человек,Аутсорсинговая,женский,27,Высшее,ЛНУ им. Франко,False,выше среднего,Веб-разработка,12/06/2017 14:20:01,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",5.0,4.0,2500,,DEV,1678.630073800738
483,Software Engineer,Ruby/Rails,,3,2,2250,100,Киев,свыше 1000 человек,Аутсорсинговая,мужской,27,Высшее,ХНУ [г. Хмельницкий],False,выше среднего,Веб-разработка,12/06/2017 14:20:30,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",3.0,2.0,2250,,DEV,1678.630073800738
484,Software Engineer,Java,,1,меньше 3 месяцев,800,480,Львов,до 10 человек,Продуктовая,мужской,32,Высшее,ЛНУ им. Франко,False,средний,"Веб-разработка,Телекоммуникации",12/06/2017 14:20:35,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.0,800,,DEV,1678.630073800738
490,Software Engineer,JavaScript,,2,меньше 3 месяцев,2000,1300,Киев,до 200 человек,Продуктовая,мужской,34,Незаконченное высшее,КНЭУ,False,средний,Веб-разработка,12/06/2017 14:21:28,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",2.0,0.0,2000,,DEV,1678.630073800738
496,Software Engineer,JavaScript,,2,0.5,1100,750,Одесса,до 50 человек,Аутсорсинговая,мужской,26,Высшее,ДНУ им. Гончара,False,ниже среднего,Веб-разработка,12/06/2017 14:22:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Mobile/14F89 [FBAN/FBIOS;FBAV/95.0.0.54.70;FBBV/59901094;FBDV/iPhone7,2;FBMD/iPhone;FBSN/iOS;FBSV/10.3.2;FBSS/2;FBCR/lifecell;FBID/phone;FBLC/ru_RU;FBOP/5;FBRV/0]",2.0,0.5,1100,,DEV,1678.630073800738
497,Software Engineer,C#/.NET,,3,0.5,2200,1600,Киев,до 50 человек,Аутстаффинговая,мужской,23,Высшее,КНУТД,False,выше среднего,Корпоративные системы,12/06/2017 14:22:07,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",3.0,0.5,2200,,DEV,1678.630073800738
498,Software Engineer,C#/.NET,,3,0.5,1400,400,Запорожье,до 200 человек,Продуктовая,мужской,29,Высшее,ЗНТУ,False,средний,"Android,iOS",12/06/2017 14:22:09,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,0.5,1400,,DEV,1678.630073800738
506,Software Engineer,PHP,,3,0.5,1200,200,Одесса,до 50 человек,Продуктовая,мужской,31,Высшее,Другой вуз,False,ниже среднего,Веб-разработка,12/06/2017 14:23:15,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",3.0,0.5,1200,,DEV,1678.630073800738
507,Software Engineer,PHP,,5,0.5,1900,500,Киев,до 50 человек,Продуктовая,мужской,25,Высшее,НАУ,False,средний,"Веб-разработка,eCommerce",12/06/2017 14:23:38,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,0.5,1900,,DEV,1678.630073800738
